timeframe,leverage,channel,atr_mult,rr_ratio,trades,win_rate,pnl,return_pct,max_dd,sharpe,profit_factor,avg_win,avg_loss,sl_hits,tp_hits,mkt_close
1m,20,20,1,1.5,887,26.9,-9999,-100.0,100.0,-47.93,0.30,18,-22,646,239,2
1m,20,20,1,2,812,21.1,-9999,-100.0,100.0,-45.34,0.35,31,-24,640,170,2
1m,20,20,1,3,752,15.2,-9999,-100.0,100.0,-38.44,0.45,72,-29,638,111,3
1m,20,20,2,1.5,1558,32.9,-9999,-100.0,100.0,-19.00,0.57,26,-22,1038,506,14
1m,20,20,2,2,1643,27.9,-9999,-100.0,100.0,-14.10,0.60,33,-21,1177,442,24
1m,20,20,2,3,1514,21.0,-9999,-100.0,100.0,-10.94,0.64,56,-23,1189,296,29
1m,20,20,3,1.5,2400,36.2,-9999,-100.0,100.0,-8.88,0.65,22,-19,1505,840,55
1m,20,20,3,2,2013,29.5,-9999,-100.0,100.0,-8.19,0.70,38,-23,1396,558,59
1m,20,20,3,3,1697,21.7,-9999,-100.0,100.0,-6.75,0.78,97,-34,1303,326,68
1m,20,50,1,1.5,824,25.1,-9999,-100.0,100.0,-40.76,0.36,27,-25,614,208,2
1m,20,50,1,2,770,19.9,-9999,-100.0,100.0,-37.15,0.40,43,-27,616,151,3
1m,20,50,1,3,736,14.1,-9999,-100.0,100.0,-32.85,0.40,64,-26,633,99,4
1m,20,50,2,1.5,1628,33.3,-9999,-100.0,100.0,-14.99,0.53,21,-20,1077,532,19
1m,20,50,2,2,1748,29.1,-9999,-100.0,100.0,-11.01,0.62,32,-21,1234,489,25
1m,20,50,2,3,1570,21.7,-9999,-100.0,100.0,-8.95,0.59,42,-20,1220,321,29
1m,20,50,3,1.5,2264,35.7,-9999,-100.0,100.0,-8.29,0.72,31,-24,1428,779,57
1m,20,50,3,2,1964,29.4,-9999,-100.0,100.0,-7.72,0.71,43,-25,1362,543,59
1m,20,50,3,3,2104,23.4,-9999,-100.0,100.0,-4.95,0.75,61,-25,1583,429,92
1m,20,100,1,1.5,894,25.8,-9999,-100.0,100.0,-32.28,0.35,23,-23,660,232,2
1m,20,100,1,2,916,21.7,-9999,-100.0,100.0,-26.85,0.34,26,-21,714,198,4
1m,20,100,1,3,808,14.6,-9999,-100.0,100.0,-25.20,0.31,38,-21,689,116,3
1m,20,100,2,1.5,1669,33.8,-9999,-100.0,100.0,-12.02,0.51,19,-19,1095,553,21
1m,20,100,2,2,1480,27.4,-9999,-100.0,100.0,-11.27,0.52,26,-19,1064,393,23
1m,20,100,2,3,1510,20.9,-9999,-100.0,100.0,-8.29,0.54,37,-18,1185,295,30
1m,20,100,3,1.5,2056,34.8,-9999,-100.0,100.0,-8.05,0.66,27,-22,1315,694,47
1m,20,100,3,2,2144,29.8,-9999,-100.0,100.0,-6.15,0.65,29,-19,1475,603,66
1m,20,100,3,3,1740,22.3,-9999,-100.0,100.0,-5.60,0.76,82,-31,1333,335,72
1m,200,20,1,1.5,1038,25.4,-10000,-100.0,100.0,-51.86,0.31,17,-19,770,266,2
1m,200,20,1,2,988,21.2,-10000,-100.0,100.0,-39.13,0.35,25,-20,779,207,2
1m,200,20,1,3,918,14.6,-10000,-100.0,100.0,-37.09,0.45,62,-23,784,131,3
1m,200,20,2,1.5,1622,32.9,-10000,-100.0,100.0,-15.58,0.57,25,-21,1080,527,15
1m,200,20,2,2,1965,28.5,-10000,-100.0,100.0,-7.96,0.60,27,-18,1396,542,27
1m,200,20,2,3,1763,21.1,-10000,-100.0,100.0,-10.62,0.64,48,-20,1384,345,34
1m,200,20,3,1.5,2467,36.0,-10000,-100.0,100.0,-8.35,0.65,21,-18,1553,858,56
1m,200,20,3,2,2187,29.1,-10000,-100.0,100.0,-7.86,0.69,36,-21,1524,600,63
1m,200,20,3,3,2268,22.7,-10000,-100.0,100.0,-3.59,0.78,69,-26,1719,456,93
1m,200,50,1,1.5,1007,25.3,-10000,-100.0,100.0,-26.76,0.36,22,-21,749,255,3
1m,200,50,1,2,947,20.4,-10000,-100.0,100.0,-33.02,0.40,35,-22,754,190,3
1m,200,50,1,3,833,13.4,-10000,-100.0,100.0,-31.60,0.39,57,-23,720,109,4
1m,200,50,2,1.5,1852,33.4,-10000,-100.0,100.0,-12.87,0.53,18,-17,1224,607,21
1m,200,50,2,2,2044,28.7,-10000,-100.0,100.0,-9.10,0.60,26,-17,1448,569,27
1m,200,50,2,3,1706,21.3,-10000,-100.0,100.0,-9.39,0.59,39,-18,1331,344,31
1m,200,50,3,1.5,2390,35.3,-10000,-100.0,100.0,-6.99,0.71,30,-23,1516,814,60
1m,200,50,3,2,2852,30.4,-10000,-100.0,100.0,-3.77,0.72,29,-18,1946,818,88
1m,200,50,3,3,2492,23.7,-10000,-100.0,100.0,-3.33,0.75,51,-21,1870,514,108
1m,200,100,1,1.5,1135,27.4,-10000,-100.0,100.0,-28.10,0.35,17,-19,821,311,3
1m,200,100,1,2,1076,21.7,-10000,-100.0,100.0,-27.25,0.34,22,-18,839,232,5
1m,200,100,1,3,933,14.6,-10000,-100.0,100.0,-24.23,0.30,32,-18,795,134,4
1m,200,100,2,1.5,1902,33.2,-10000,-100.0,100.0,-9.40,0.52,17,-16,1259,620,23
1m,200,100,2,2,1759,27.6,-10000,-100.0,100.0,-9.80,0.52,22,-16,1261,472,26
1m,200,100,2,3,1637,20.7,-10000,-100.0,100.0,-7.90,0.54,34,-17,1288,317,32
1m,200,100,3,1.5,2568,35.5,-10000,-100.0,100.0,-5.53,0.65,20,-17,1624,880,64
1m,200,100,3,2,2519,29.8,-10000,-100.0,100.0,-4.73,0.65,25,-16,1736,709,74
1m,200,100,3,3,2067,22.4,-10000,-100.0,100.0,-3.31,0.75,66,-25,1583,402,82
5m,20,20,1,1.5,2144,36.0,-9999,-100.0,100.0,-18.74,0.71,32,-25,1353,756,35
5m,20,20,1,2,1929,29.5,-9999,-100.0,100.0,-16.68,0.73,46,-27,1341,551,37
5m,20,20,1,3,1787,22.3,-9999,-100.0,100.0,-12.78,0.83,119,-41,1371,370,46
5m,20,20,2,1.5,5232,39.9,-9999,-100.0,100.0,-4.91,0.85,27,-21,3034,1924,274
5m,20,20,2,2,6052,34.7,-9999,-100.0,100.0,-2.83,0.90,45,-26,3816,1825,411
